ID,Copper (Cu),Oxygen (O),Potassium (K),Iron (Fe),Crops
122,5.6,2.8,4.9,2.0,Rice
123,7.7,2.8,6.7,2.0,Rice
124,6.3,2.7,4.9,1.8,Rice
125,6.7,3.3,5.7,2.1,Rice
126,7.2,3.2,6.0,1.8,Rice
127,6.2,2.8,4.8,1.8,Rice
128,6.1,3.0,4.9,1.8,Rice
129,6.4,2.8,5.6,2.1,Rice
130,7.2,3.0,5.8,1.6,Rice
131,7.4,2.8,6.1,1.9,Rice
132,7.9,3.8,6.4,2.0,Rice
133,6.4,2.8,5.6,2.2,Rice
134,6.3,2.8,5.1,1.5,Rice
135,6.1,2.6,5.6,1.4,Rice
136,7.7,3.0,6.1,2.3,Rice
137,6.3,3.4,5.6,2.4,Rice
138,6.4,3.1,5.5,1.8,Rice
139,6.0,3.0,4.8,1.8,Rice
140,6.9,3.1,5.4,2.1,Rice
141,6.7,3.1,5.6,2.4,Rice
142,6.9,3.1,5.1,2.3,Rice
143,5.8,2.7,5.1,1.9,Rice
144,6.8,3.2,5.9,2.3,Rice
145,6.7,3.3,5.7,2.5,Rice
146,6.7,3.0,5.2,2.3,Rice
147,6.3,2.5,5.0,1.9,Rice
148,6.5,3.0,5.2,2.0,Rice
149,6.2,3.4,5.4,2.3,Rice
150,5.9,3.0,5.1,1.8,Rice
